,Frequency,EFddec,EFfc,acceptor_type,Type,rHO,rOO,tOHO,sOHQM,OH_bond_order
145,2249.296,0.073730853566481,0.134206174901165,OH-,water,1.62646267832988,2.60798229230952,158.056711000289,0.6935,0.6935
146,3570.551,0.007085248005754,0.004284750069812,H2O,water,3.0,3.5,100.0,0.8675,0.8675
147,3086.9129999999996,0.090486109225013,0.119647516460844,OH-,hydroxide,1.92083210580727,2.78161786235996,143.400742324247,0.7882,0.7882
148,3528.148,0.03328174348925,0.0667907132522,H2O,hydroxide,3.0,3.5,100.0,0.9273,0.9273
149,2829.9519999999998,0.04936939568054,0.085303071090871,OH-,water,1.84608061451823,2.83011453990823,165.69772902201,0.7507,0.7507
150,3545.5480000000007,0.006049490700525,0.001147501159959,H2O,water,3.0,3.5,100.0,0.8662,0.8662
151,2834.2429999999995,0.054992170708791,0.079884305059096,O2-,water,1.82095170918946,2.68218294212009,141.526346424118,0.7654,0.7654
152,3528.5530000000003,0.008820512310674,0.011315526274554,O2-,water,3.0,3.5,100.0,0.8542,0.8542
153,3590.725,0.031062556283035,0.058138575385012,,hydroxide,3.0,3.5,100.0,0.9613,0.9613
154,2327.076,0.115909204253741,0.176336605683861,OH-,hydroxide,1.60993772379555,2.53506148400783,148.068600962835,0.7017,0.7017
155,2041.4779999999998,0.122030597447958,0.198075740944798,OH-,hydroxide,1.53380626739494,2.49748198706217,153.765679093252,0.7084,0.7084
156,3592.3259999999996,0.032389385894828,0.052113582100393,,hydroxide,3.0,3.5,100.0,0.9517,0.9517
157,2697.8450000000003,0.094752663086477,0.138812582316291,OH-,hydroxide,1.74352700320356,2.69326131080889,155.906180096537,0.7716,0.7716
158,2559.8140000000003,0.104704947494204,0.155905810770143,OH-,hydroxide,1.72686708903725,2.66452329021534,152.312582300334,0.7437,0.7437
159,3402.5389999999998,0.06905861974256,0.081676235867859,H2O,hydroxide,3.0,3.5,100.0,0.8148,0.8148
160,3409.15,0.072267174706957,0.089745118344249,OH-,hydroxide,2.35230762541807,3.00339612467287,123.183002736671,0.802,0.802
161,2627.0150000000003,0.05825831302528,0.105819274637172,OH-,water,1.70992585271994,2.70380221889472,167.366605911599,0.7332,0.7332
162,2340.4210000000003,0.070972057230629,0.131075457031364,OH-,water,1.64216797648718,2.63733069723916,163.008403981108,0.7045,0.7045
163,3551.705,0.040575039713722,0.078954947536468,H2O,hydroxide,3.0,3.5,100.0,0.9187,0.9187
164,2344.1310000000003,0.065416918486272,0.125751011039149,OH-,water,1.64015360951345,2.65778539957612,174.087602882327,0.6992,0.6992
165,2929.3550000000005,0.044329888737574,0.07136225848683,OH-,water,1.84351310250863,2.82259552811964,165.740567744332,0.7616,0.7616
166,3178.5459999999994,0.041655948470056,0.061625143222648,OH-,water,1.89630606535469,2.79903415383968,150.282153350201,0.764,0.764
167,2842.2560000000003,0.04737697708754,0.09558874788092,H2O,water,1.7645411632773,2.75775600033796,170.286183420456,0.7471,0.7471
168,3544.152,0.017793385076178,0.028743772434341,H2O,water,3.0,3.5,100.0,0.8231,0.8231
169,3181.34,0.038540857479091,0.087268280359967,H2O,water,1.88432346050247,2.83964139714859,161.404624967834,0.7737,0.7737
170,2639.081,0.058225966754766,0.099731592119908,OH-,water,1.68802842165054,2.63849204772347,154.678562883093,0.7339,0.7339
171,3518.5740000000005,0.045486662976741,0.091076305333893,H2O,hydroxide,2.32431799489657,3.06479675769862,132.106629207904,0.8757,0.8757
172,3280.1059999999998,0.033684352713421,0.063221478938061,H2O,water,1.99882514557927,2.91153376887509,153.05223676141,0.7982,0.7982
173,2377.87,0.071122632311366,0.123067350940347,OH-,water,1.64010825993286,2.62169645994726,159.257982789264,0.7048,0.7048
174,2253.174,0.063608322957209,0.122536586774656,OH-,water,1.63061356179231,2.64762804480935,171.144613799875,0.6986,0.6986
175,3474.1099999999997,0.022452140228042,0.055483926817136,H2O,water,3.0,3.5,100.0,0.8056,0.8056
176,3290.6500000000005,0.038432954417028,0.074383970640943,H2O,water,1.93029893236773,2.8036902654359,146.442682058837,0.7683,0.7683
177,2429.598,0.061298770962275,0.106949083417455,OH-,water,1.64457174401757,2.6341227531535,163.186139835406,0.7087,0.7087
178,3152.509,0.046354944453559,0.1014281543724,H2O,water,1.84884055873837,2.77901494104224,155.122371826211,0.7593,0.7593
179,3574.877,0.03755367587568,0.06817851700571,H2O,hydroxide,3.0,3.5,100.0,0.9151,0.9151
180,3549.599,0.034145438439376,0.084690627278935,,hydroxide,3.0,3.5,100.0,0.9416,0.9416
181,3016.6890000000003,0.041591603110867,0.091018821782819,OH-,water,1.80679916828075,2.79290718136139,169.911936626131,0.7754,0.7754
182,3227.621,0.031405463672456,0.082590304651604,H2O,water,1.86728780925705,2.80409933142533,157.202986091184,0.7967,0.7967
183,3488.3900000000003,0.046276478719995,0.100248788074633,H2O,hydroxide,2.29470982496698,3.06589213640989,135.169141826932,0.8744,0.8744
184,3353.9860000000003,0.077575005869755,0.095665192760703,OH-,hydroxide,2.07411635095527,2.8608903636106,135.682710737776,0.7886,0.7886
185,3373.2139999999995,0.077008084333012,0.091748674139047,OH-,hydroxide,2.05613842902174,2.85719271742387,137.419266605826,0.7861,0.7861
186,3383.9350000000004,0.074743472821819,0.088222146361458,OH-,hydroxide,2.13055910619724,2.87753922291252,131.609719646984,0.7941,0.7941
187,3387.9950000000003,0.072653210429449,0.084472881610275,OH-,hydroxide,2.30687821503434,2.96864763286248,123.903914967766,0.8016,0.8016
188,2989.2889999999998,0.047817497454679,0.09854740227346,H2O,water,1.84976144756561,2.82881293494285,165.76606825825,0.7428,0.7428
189,3543.6000000000004,0.008727215047909,0.005396851687271,H2O,water,3.0,3.5,100.0,0.8507,0.8507
190,3455.607,0.023489082692153,0.035258300742796,H2O,water,2.25236348923991,2.99428545378042,131.716446714904,0.8195,0.8195
191,3351.0389999999998,0.024876059417764,0.054446341247848,H2O,water,2.05154357128968,3.00139695878436,161.874043171642,0.8077,0.8077
192,3404.907,0.024778890092359,0.037234536307712,H2O,water,2.29079741744245,3.21374981383134,156.293658158946,0.8087,0.8087
193,3348.877,0.028856995005909,0.04986413189238,H2O,water,2.1151647194013,3.04956984263355,158.137040073263,0.7967,0.7967
194,3300.8539999999994,0.030733612303922,0.057162775869546,H2O,water,1.9686814675249,2.83697946516643,145.641767240765,0.7944,0.7944
195,2573.134,0.061049561496955,0.1104310926754,OH-,water,1.73026835262626,2.72389955649984,165.281276980305,0.7338,0.7338
196,2645.6049999999996,0.058421830459409,0.096527212189261,OH-,water,1.74950183089358,2.72732499634715,161.328616442888,0.7425,0.7425
197,3547.8100000000004,0.039317808278629,0.082728174500351,,hydroxide,3.0,3.5,100.0,0.9227,0.9227
198,3548.934,0.038046051253828,0.077754828811411,,hydroxide,3.0,3.5,100.0,0.9259,0.9259
199,2088.609,0.075023751631986,0.140718413010103,OH-,water,1.62250199149338,2.64156313757593,167.892234382166,0.6938,0.6938
200,2718.8059999999996,0.056527349655662,0.091501578165075,OH-,water,1.79103774047338,2.75151838803596,157.702153113359,0.7484,0.7484
201,2629.5820000000003,0.058195918107057,0.100542558166796,OH-,water,1.74526018406999,2.73351205649436,164.437806146399,0.7433,0.7433
202,2628.668,0.059562950293515,0.100552969902995,OH-,water,1.75124770737894,2.72831706755282,160.87045960103,0.7412,0.7412
203,3548.2160000000003,0.036486123767516,0.072699949701862,,hydroxide,3.0,3.5,100.0,0.9357,0.9357
204,2575.309,0.061893636862752,0.111292948346034,OH-,water,1.72405315524203,2.7127857174683,163.895592874153,0.7345,0.7345
205,2508.6369999999997,0.063954329729217,0.116397030696091,OH-,water,1.70438890022671,2.698719230149,164.863583798166,0.7302,0.7302
206,3554.6309999999994,0.036790657485755,0.075807934901005,H2O,hydroxide,3.0,3.5,100.0,0.9333,0.9333
207,2525.2740000000003,0.064637123369892,0.100460299633674,O2-,water,1.75734927131746,2.72662724986383,158.394117745996,0.7592,0.7592
208,2514.1720000000005,0.065179341888282,0.101276234238927,O2-,water,1.75361879945443,2.7240317162067,158.549339936761,0.7579,0.7579
209,3596.2850000000003,0.029518272980078,0.054903112148304,,hydroxide,3.0,3.5,100.0,0.9732,0.9732
210,2013.027,0.125282434419449,0.206161191297762,OH-,hydroxide,1.52708772852119,2.4896745635926,153.148572948647,0.7005,0.7005
211,3594.8860000000004,0.0325244473437,0.065881073368186,,hydroxide,3.0,3.5,100.0,0.9517,0.9517
212,2816.551,0.109616511199761,0.16393152612772,OH-,hydroxide,1.63992997734659,2.53996675490054,147.456022532769,0.7142,0.7142
213,2528.199,0.110814006381386,0.174559681893988,OH-,hydroxide,1.64877243660246,2.60376403433568,155.716061210627,0.7341,0.7341
214,3584.0969999999998,0.032978811734826,0.060919553407651,,hydroxide,3.0,3.5,100.0,0.9454,0.9454
215,3047.55,0.041758474245847,0.062330688144516,OH-,water,1.91714749784674,2.85946944669811,156.95677736509,0.7842,0.7842
216,2527.841,0.066925169653229,0.115263932161053,OH-,water,1.67670981896093,2.66260847557428,162.312773655525,0.7194,0.7194
